,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
76,0,-,9,0,0,0,1,caught,2,v Sri Lanka,Bridgetown,07-Jun-03
77,94,-,125,12,2,75.2,1,run out,1,v Sri Lanka,Bridgetown,08-Jun-03
78,21,-,75,1,0,28,1,bowled,2,v Sri Lanka,Kingstown,11-Jun-03
79,153*,225,160,19,2,95.62,2,not out,1,v Zimbabwe,Bulawayo,22-Nov-03
80,8,25,15,1,0,53.33,2,caught,1,v Zimbabwe,Bulawayo,23-Nov-03
81,61,188,112,7,0,54.46,2,caught,2,v Zimbabwe,Harare,26-Nov-03
82,51,70,34,7,3,150,2,caught,1,v Zimbabwe,Harare,29-Nov-03
83,112*,127,75,17,2,149.33,2,not out,2,v Zimbabwe,Harare,30-Nov-03
84,4,18,15,1,0,26.66,1,caught,2,v South Africa,Cape Town,25-Jan-04
85,9,28,20,1,0,45,1,caught,2,v South Africa,Gqeberha,28-Jan-04
86,1,14,16,0,0,6.25,1,caught,1,v South Africa,Durban,30-Jan-04
87,26,21,22,2,2,118.18,1,caught,2,v South Africa,Centurion,01-Feb-04
88,152*,220,153,12,3,99.34,1,not out,1,v South Africa,Johannesburg,04-Feb-04
89,2,19,17,0,0,11.76,1,bowled,1,v England,Georgetown,18-Apr-04
90,20,47,42,2,0,47.61,1,caught,1,v England,Port of Spain,24-Apr-04
91,36,52,42,5,1,85.71,1,caught,2,v England,Gros Islet,01-May-04
92,9,12,10,1,0,90,1,lbw,2,v England,Gros Islet,02-May-04
93,41,70,52,4,1,78.84,1,bowled,1,v England,Bridgetown,05-May-04
94,0,9,8,0,0,0,1,caught,2,v Bangladesh,Kingstown,15-May-04
95,7,25,22,1,0,31.81,1,caught,1,v Bangladesh,Kingstown,16-May-04
96,30,64,49,5,0,61.22,1,caught,1,v New Zealand,Birmingham,26-Jun-04
97,60*,147,90,9,0,66.66,1,not out,2,v England,Nottingham,27-Jun-04
98,23,32,29,5,0,79.31,1,run out,1,v England,Leeds,01-Jul-04
99,27,80,58,4,0,46.55,1,caught,1,v New Zealand,Cardiff,03-Jul-04
100,132*,212,165,12,1,80,1,not out,2,v England,Lord's,06-Jul-04
101,TDNB,-,-,-,-,-,-,-,-,v New Zealand,Southampton,08-Jul-04
102,4,11,13,0,0,30.76,1,caught,2,v New Zealand,Lord's,10-Jul-04
103,99,173,132,6,0,75,1,caught,1,v Bangladesh,Southampton,15-Sep-04
104,16,34,19,3,0,84.21,1,bowled,2,v South Africa,The Oval,18-Sep-04
105,1,11,8,0,0,12.5,1,lbw,2,v Pakistan,Southampton,22-Sep-04
106,23,47,33,5,0,69.69,1,caught,2,v England,The Oval,25-Sep-04
107,1,6,9,0,0,11.11,1,caught,1,v Asia XI,Melbourne,10-Jan-05
108,0,3,3,0,0,0,1,lbw,2,v Australia,Melbourne,14-Jan-05
109,82,-,99,7,0,82.82,1,caught,1,v Pakistan,Brisbane,19-Jan-05
110,26,-,22,3,1,118.18,1,bowled,1,v Australia,Brisbane,21-Jan-05
111,2,-,11,0,0,18.18,1,caught,2,v Australia,Adelaide,26-Jan-05
